long,lat,year,TimePeriod,RCP,scenario,treecanopy_percent,Ann_Herb_percent,Bare_percent,Herb_percent,Litter_percent,Shrub_percent,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,T_Winter,T_Summer,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.046,37.603,1990,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.09,36.15,82.0,0.025,3.52,5.41,-0.097,23.234,37.35,-14.65,0.049,0.049,0.047,0.069
-110.046,37.603,1991,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.927,33.69,84.0,0.016,4.85,6.39,-2.094,22.31,34.85,-24.55,0.078,0.072,0.048,0.079
-110.046,37.603,1991,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,4.039,33.69,84.0,0.02,4.85,6.39,-2.094,22.31,34.85,-24.55,0.061,0.059,0.048,0.073
-110.046,37.603,1992,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.619,33.4,85.0,0.019,6.39,5.95,-1.282,21.676,34.35,-14.35,0.115,0.09,0.048,0.065
-110.046,37.603,1992,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.71,33.4,85.0,0.023,6.39,5.95,-1.282,21.676,34.35,-14.35,0.11,0.084,0.048,0.06
-110.046,37.603,1993,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,2.464,33.72,83.0,0.091,13.81,5.55,-1.297,21.298,34.75,-14.05,0.112,0.09,0.049,0.078
-110.046,37.603,1993,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,2.574,33.72,83.0,0.265,13.81,5.55,-1.297,21.298,34.75,-14.05,0.1,0.092,0.048,0.069
-110.046,37.603,1994,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,1.992,36.37,84.0,0.0,3.23,2.56,-0.433,24.529,37.35,-14.25,0.07,0.054,0.046,0.065
-110.046,37.603,1994,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,2.035,36.37,84.0,0.001,3.23,2.56,-0.433,24.529,37.35,-14.25,0.058,0.052,0.046,0.059
-110.046,37.603,1995,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,4.125,35.39,67.0,0.018,7.22,6.76,1.736,22.068,37.25,-10.75,0.121,0.085,0.048,0.048
-110.046,37.603,1995,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,4.235,35.39,67.0,0.021,7.22,6.76,1.736,22.068,37.25,-10.75,0.096,0.087,0.048,0.047
-110.046,37.603,1996,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.015,35.38,66.0,0.001,2.93,4.72,1.551,24.168,36.05,-12.55,0.053,0.048,0.047,0.091
-110.046,37.603,1996,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.118,35.38,66.0,0.001,2.93,4.72,1.551,24.168,36.05,-12.55,0.051,0.048,0.047,0.077
-110.046,37.603,1997,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.747,33.52,70.0,0.328,8.04,9.18,0.671,22.102,35.45,-13.85,0.14,0.085,0.056,0.075
-110.046,37.603,1997,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.798,33.52,70.0,0.322,8.04,9.18,0.671,22.102,35.45,-13.85,0.127,0.084,0.054,0.066
-110.046,37.603,1998,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.183,35.73,84.0,0.06,5.19,5.69,0.088,22.547,37.25,-11.65,0.089,0.061,0.048,0.093
-110.046,37.603,1998,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.267,35.73,84.0,0.093,5.19,5.69,0.088,22.547,37.25,-11.65,0.07,0.053,0.048,0.089
-110.046,37.603,1999,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,6.163,33.14,73.0,0.31,2.66,14.56,1.833,21.665,34.35,-15.05,0.113,0.062,0.056,0.048
-110.046,37.603,1999,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,6.312,33.14,73.0,0.304,2.66,14.56,1.833,21.665,34.35,-15.05,0.113,0.061,0.054,0.047
-110.046,37.603,2000,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.043,35.94,63.0,0.0,5.1,4.78,1.468,23.942,36.85,-12.65,0.066,0.067,0.047,0.089
-110.046,37.603,2000,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.179,35.94,63.0,0.001,5.1,4.78,1.468,23.942,36.85,-12.65,0.061,0.058,0.047,0.083
-110.046,37.603,2001,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,4.003,35.3,79.0,0.085,6.24,8.13,0.356,23.128,36.05,-12.95,0.116,0.087,0.049,0.048
-110.046,37.603,2001,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,4.146,35.3,79.0,0.091,6.24,8.13,0.356,23.128,36.05,-12.95,0.105,0.081,0.049,0.048
-110.046,37.603,2002,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,2.229,36.26,86.0,0.0,2.21,3.0,-0.85,24.238,37.25,-14.25,0.065,0.047,0.046,0.09
-110.046,37.603,2002,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,2.312,36.26,86.0,0.0,2.21,3.0,-0.85,24.238,37.25,-14.25,0.059,0.047,0.046,0.081
-110.046,37.603,2003,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.011,36.86,74.0,0.031,5.99,5.4,1.374,24.264,38.15,-12.05,0.068,0.079,0.048,0.086
-110.046,37.603,2003,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.064,36.86,74.0,0.052,5.99,5.4,1.374,24.264,38.15,-12.05,0.059,0.068,0.047,0.077
-110.046,37.603,2004,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,1.984,34.2,81.0,0.0,6.1,2.76,-0.874,22.707,35.15,-14.95,0.094,0.068,0.047,0.113
-110.046,37.603,2004,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,2.059,34.2,81.0,0.0,6.1,2.76,-0.874,22.707,35.15,-14.95,0.077,0.057,0.047,0.099
-110.046,37.603,2005,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.814,37.29,64.0,0.103,13.1,8.14,1.402,22.296,38.25,-14.35,0.145,0.083,0.05,0.062
-110.046,37.603,2005,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.896,37.29,64.0,0.104,13.1,8.14,1.402,22.296,38.25,-14.35,0.145,0.085,0.049,0.058
-110.046,37.603,2006,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.91,35.69,84.0,0.022,1.83,7.13,0.726,23.895,36.95,-14.85,0.051,0.072,0.048,0.103
-110.046,37.603,2006,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,4.04,35.69,84.0,0.022,1.83,7.13,0.726,23.895,36.95,-14.85,0.05,0.065,0.048,0.102
-110.046,37.603,2007,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.639,35.71,79.0,0.062,3.39,7.59,-0.267,24.071,36.25,-16.45,0.08,0.051,0.049,0.059
-110.046,37.603,2007,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.757,35.71,79.0,0.097,3.39,7.59,-0.267,24.071,36.25,-16.45,0.083,0.051,0.048,0.055
-110.046,37.603,2008,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.183,34.22,78.0,0.051,13.12,6.65,-2.259,22.488,35.25,-18.65,0.131,0.08,0.049,0.051
-110.046,37.603,2008,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.258,34.22,78.0,0.053,13.12,6.65,-2.259,22.488,35.25,-18.65,0.114,0.083,0.048,0.05
-110.046,37.603,2009,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,1.844,34.86,74.0,0.0,5.99,2.48,0.204,22.446,36.25,-17.15,0.11,0.067,0.047,0.051
-110.046,37.603,2009,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,1.906,34.86,74.0,0.001,5.99,2.48,0.204,22.446,36.25,-17.15,0.093,0.059,0.047,0.049
